epoch,train_acc,train_f1,valid_acc,valid_f1
1,0.7155,0.4754288185025199,0.527,0.39288923116416374
2,0.8789,0.8531868070585504,0.8585,0.8575303157113101
3,0.891,0.8689746363745643,0.871,0.8703828929533509
4,0.9017,0.8828308882237546,0.893,0.8927424746817108
5,0.9075,0.8878594521297762,0.894,0.893550249805428
6,0.9145,0.8960707182968375,0.9,0.8995887153781891
7,0.9196,0.9043948134614386,0.916,0.9158653846153846
8,0.9267,0.9118101267456917,0.9145,0.9142899890456591
9,0.9313,0.9169981094054083,0.918,0.9177944862155388
10,0.934,0.9202681888194255,0.9215,0.9212992935233077
